2017/06/07 01:24:31 [error] 14667#14667: *45 open() "/home/zhangyu/MyProgram/blog_onecss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *44 open() "/home/zhangyu/MyProgram/blog_onecss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *46 open() "/home/zhangyu/MyProgram/blog_onecss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *46 open() "/home/zhangyu/MyProgram/blog_onecss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *44 open() "/home/zhangyu/MyProgram/blog_onecss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *45 open() "/home/zhangyu/MyProgram/blog_onecss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *48 open() "/home/zhangyu/MyProgram/blog_onecss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *47 open() "/home/zhangyu/MyProgram/blog_onecss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:36 [error] 14772#14772: *55 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:36 [error] 14772#14772: *55 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:36 [error] 14772#14772: *57 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:36 [error] 14772#14772: *58 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:36 [error] 14772#14772: *59 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *59 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *58 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *57 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *55 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *57 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *57 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *55 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *58 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *59 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *59 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *59 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
